iter	Passed	Remaining
0	6	691
1	9	489
2	12	414
3	15	377
4	18	357
5	21	338
6	24	321
7	26	310
8	29	300
9	32	290
10	35	285
11	38	281
12	41	277
13	44	272
14	47	271
15	50	265
16	54	263
17	56	258
18	59	253
19	62	250
20	65	246
21	68	243
22	71	237
23	73	232
24	77	231
25	79	225
26	82	222
27	85	218
28	87	214
29	90	210
30	92	206
31	96	204
32	99	201
33	102	199
34	105	195
35	108	192
36	110	188
37	113	185
38	116	181
39	118	178
40	121	175
41	123	171
42	126	167
43	129	164
44	132	161
45	136	159
46	139	157
47	143	155
48	147	153
49	151	151
50	153	147
51	158	146
52	162	144
53	165	140
54	168	138
55	171	135
56	175	132
57	178	128
58	180	125
59	183	122
60	185	118
61	188	115
62	191	112
63	193	108
64	196	105
65	199	102
66	201	99
67	204	96
68	206	92
69	211	90
70	213	87
71	216	84
72	219	81
73	221	77
74	224	74
75	227	71
76	230	68
77	232	65
78	235	62
79	237	59
80	240	56
81	243	53
82	245	50
83	248	47
84	251	44
85	253	41
86	256	38
87	259	35
88	262	32
89	265	29
90	267	26
91	271	23
92	273	20
93	276	17
94	278	14
95	281	11
96	283	8
97	286	5
98	288	2
99	291	0
